Item_price
"€162,10"
"€137,89"
"€72,72"
"€56,15"
"€152,03"
"€154,72"
"€92,72"
"€98,91"
"€27,87"
"€145,47"
"€104,45"
"€133,73"
"€104,09"
"€45,38"
"€12,51"
"€44,59"
"€149,01"
"€58,42"
"€159,30"
"€151,34"
"€169,54"
"€74,46"
"€168,48"
"€130,54"
"€96,87"
"€170,12"
"€99,60"
"€147,56"
"€112,45"
"€16,97"
"€131,88"
"€148,03"
"€32,39"
"€71,91"
"€144,38"
"€103,74"
"€85,32"
"€122,92"
"€159,83"
"€66,52"
"€89,23"
"€38,68"
"€155,95"
"€170,83"
"€159,92"
"€128,07"
"€81,86"
"€53,53"
"€91,78"
"€102,84"
"€18,27"
"€152,71"
"€120,52"
"€97,37"
"€59,52"
"€156,91"
"€109,24"
"€90,55"
"€134,90"
"€105,85"
"€36,81"
"€54,45"
"€97,48"
"€103,74"
"€145,56"
"€72,45"
"€78,47"
"€116,91"
"€123,04"
"€46,80"
"€75,34"
"€149,07"
"€119,80"
"€74,08"
"€33,03"
"€97,60"
"€158,88"
"€73,11"
"€171,37"
"€50,22"
"€36,01"
"€112,72"
"€23,53"
"€65,84"
"€25,10"
"€92,81"
"€147,60"
"€167,36"
"€90,29"
"€28,84"
"€124,30"
"€92,26"
"€53,24"
"€77,76"
"€121,39"
"€97,82"
"€66,62"
"€105,85"
"€30,64"
"€122,66"
"€92,42"
"€78,30"
"€132,75"
"€62,63"
"€79,53"
"€73,05"
"€154,96"
"€132,45"
"€28,90"
"€137,22"
"€46,41"
"€72,26"
"€115,49"
"€143,35"
"€134,68"
"€46,89"
"€112,17"
"€56,67"
"€113,05"
"€56,24"
"€64,07"
"€12,96"
"€10,08"
"€56,79"
"€92,35"
"€131,51"
"€27,19"
"€50,24"
"€34,66"
"€30,30"
"€100,55"
"€88,95"
"€12,14"
"€31,79"
"€150,97"
"€29,35"
"€106,72"
"€89,92"
"€119,08"
"€120,50"
"€33,10"
"€127,92"
"€37,65"
"€111,65"
"€38,31"
"€28,04"
"€95,38"
"€97,39"
"€54,78"
"€105,12"
"€15,76"
"€48,02"
"€45,99"
"€161,60"
"€29,58"
"€81,26"
"€81,82"
"€46,93"
"€40,43"
"€126,43"
"€49,68"
"€36,93"
"€69,37"
"€114,37"
"€159,42"
"€26,23"
"€41,96"
"€27,06"
"€105,91"
"€23,18"
"€74,87"
"€49,67"
"€90,40"
"€149,81"
"€136,76"
"€87,34"
"€145,79"
"€68,74"
"€81,48"
"€167,72"
"€48,78"
"€163,89"
"€82,81"
"€54,30"
"€164,24"
"€156,33"
"€162,56"
"€18,78"
"€112,77"
"€109,15"
"€44,51"
"€91,44"
"€73,86"
"€62,15"
"€51,60"
"€149,93"
"€77,37"
"€131,48"
"€90,38"
"€74,74"
"€117,14"
"€86,67"
"€104,91"
"€85,21"
"€52,28"
"€34,52"
"€93,19"
"€129,71"
"€158,76"
"€115,05"
"€80,32"
"€89,59"
"€124,13"
"€147,19"
"€45,67"
"€132,39"
"€152,96"
"€99,97"
"€28,05"
"€25,80"
"€127,12"
"€149,02"
"€42,52"
"€131,33"
"€127,83"
"€60,31"
"€54,14"
"€36,66"
"€142,10"
"€120,82"
"€41,14"
"€12,77"
"€71,65"
"€49,98"
"€27,17"
"€137,12"
"€102,11"
"€68,57"
"€10,89"
"€163,88"
"€124,06"
"€94,32"
"€53,37"
"€14,89"
"€172,66"
"€60,01"
"€41,72"
"€40,12"
"€94,86"
"€78,67"
"€79,61"
"€80,93"
"€112,84"
"€13,01"
"€34,15"
"€76,03"
"€165,37"
"€144,31"
"€15,82"
"€116,12"
"€107,83"
"€106,53"
"€93,09"
"€39,88"
"€101,67"
"€124,31"
"€24,47"
"€118,31"
"€128,54"
"€172,85"
"€113,85"
"€59,86"
"€87,66"
"€126,07"
"€134,67"
"€92,12"
"€29,55"
"€34,26"
"€87,26"
"€49,68"
"€58,95"
"€24,95"
"€84,51"
"€82,75"
"€92,03"
"€32,74"
"€106,13"
"€98,60"
"€39,33"
"€155,69"
"€136,84"
"€33,73"
"€158,57"
"€172,72"
"€163,07"
"€56,01"
"€53,03"
"€28,61"
"€99,41"
"€172,87"
"€118,03"
"€43,83"
"€64,12"
"€80,91"
"€27,93"
"€114,28"
"€46,29"
"€82,19"
"€95,08"
"€167,96"
"€10,57"
"€67,79"
"€152,06"
"€148,87"
"€123,94"
"€35,76"
"€139,69"
"€38,37"
"€33,01"
"€78,89"
"€48,67"
"€155,25"
"€85,81"
"€56,03"
"€79,35"
"€37,83"
"€75,26"
"€64,41"
"€10,18"
"€80,27"
"€156,81"
"€17,18"
"€29,90"
"€131,08"
"€137,99"
"€49,57"
"€44,47"
"€138,21"
"€64,43"
"€88,88"
"€160,09"
"€136,41"
"€105,13"
"€140,86"
"€155,20"
"€131,58"
"€77,20"
"€79,50"
"€50,07"
"€76,12"
"€68,77"
"€110,18"
"€23,73"
"€119,36"
"€86,38"
"€35,47"
"€96,61"
"€35,30"
"€83,93"
"€128,72"
"€86,58"
"€22,41"
"€64,13"
"€27,74"
"€137,37"
"€138,88"
"€70,95"
"€152,44"
"€140,31"
"€129,53"
"€148,81"
"€135,61"
"€49,08"
"€33,45"
"€105,32"
"€66,35"
"€159,12"
"€67,09"
"€88,71"
"€161,69"
"€77,97"
"€154,86"
"€46,61"
"€79,81"
"€21,26"
"€95,85"
"€158,32"
"€66,86"
"€98,89"
"€35,69"
"€14,86"
"€170,34"
"€12,56"
"€110,27"
"€163,84"
"€172,00"
"€57,00"
"€72,41"
"€110,14"
"€148,16"
"€81,21"
"€73,53"
"€111,85"
"€34,27"
"€37,59"
"€99,78"
"€135,04"
"€170,43"
"€59,47"
"€48,37"
"€149,32"
"€52,35"
"€81,06"
"€13,16"
"€22,41"
"€54,76"
"€69,79"
"€100,35"
"€134,89"
"€131,44"
"€61,49"
"€104,15"
"€84,11"
"€133,67"
"€87,35"
"€64,68"
"€100,38"
"€150,72"
"€71,78"
"€101,98"
"€26,00"
"€45,56"
"€119,82"
"€72,35"
"€165,26"
"€30,44"
"€130,74"
"€162,56"
"€114,21"
"€64,86"
"€17,74"
"€68,98"
"€72,90"
"€25,64"
"€129,01"
"€120,08"
"€93,94"
"€140,27"
"€168,19"
"€47,01"
"€15,84"
"€97,25"
"€43,82"
"€145,14"
"€59,47"
"€141,13"
"€172,44"
"€70,74"
"€125,82"
"€133,39"
"€161,40"
"€85,30"
"€149,44"
"€138,10"
"€104,96"
"€106,10"
"€151,76"
"€156,30"
"€11,54"
"€43,12"
"€96,54"
"€95,84"
"€140,07"
"€132,81"
"€87,91"
"€29,15"
"€82,76"
"€73,48"
"€11,38"
"€159,78"
"€45,36"
"€106,55"
"€96,68"
"€134,43"
"€70,04"
"€108,23"
"€135,10"
"€63,91"
"€110,50"
"€18,13"
"€152,91"
"€101,51"
"€125,73"
"€122,28"
"€39,68"
"€45,40"
"€157,76"
"€101,77"
"€17,37"
"€84,21"
